1.48	4.06652	5.74314	9.80965
1.49	4.32331	5.4863	9.80961
1.5	4.58411	5.22545	9.80956
1.51	4.84822	4.96129	9.80951
1.52	5.11489	4.69456	9.80945
1.53	5.38333	4.42606	9.80939
1.54	5.65269	4.15664	9.80933
1.55	5.92208	3.88718	9.80927
1.56	6.19057	3.61863	9.8092
1.57	6.45717	3.35196	9.80913
1.58	6.72088	3.08817	9.80906
1.59	6.98066	2.82833	9.80898
1.6	7.23543	2.57348	9.80891
1.61	7.48411	2.32472	9.80883
1.62	7.72561	2.08314	9.80875
1.63	7.95882	1.84986	9.80868
1.64	8.18265	1.62595	9.8086
1.65	8.39601	1.41252	9.80853
1.66	8.59784	1.21062	9.80846
1.67	8.78711	1.02127	9.80839
1.68	8.96285	0.845474	9.80832
1.69	9.1241	0.684158	9.80826
1.7	9.27001	0.538197	9.80821
1.71	9.39976	0.408399	9.80816
1.72	9.51262	0.295488	9.80811
1.73	9.60797	0.200105	9.80807
1.74	9.68524	0.122798	9.80804
1.75	9.744	0.0640136	9.80802
1.76	9.78391	0.0240938	9.808
1.77	9.80472	0.00327258	9.80799
1.78	9.80632	0.00167224	9.80799
1.79	9.7887	0.0193022	9.808
1.8	9.75196	0.0560589	9.80801
1.81	9.69631	0.111727	9.80804
1.82	9.62209	0.185982	9.80807
1.83	9.52971	0.278393	9.8081
1.84	9.41972	0.388431	9.80815
1.85	9.29273	0.515469	9.8082
1.86	9.14946	0.658795	9.80825
1.87	8.9907	0.817617	9.80831
1.88	8.81731	0.99107	9.80838
1.89	8.63022	1.17823	9.80844
1.9	8.4304	1.37811	9.80852
1.91	8.21889	1.5897	9.80859
1.92	7.99673	1.81194	9.80866
1.93	7.765	2.04374	9.80874
1.94	7.52481	2.28401	9.80882
1.95	7.27724	2.53165	9.80889
1.96	7.0234	2.78556	9.80897
1.97	6.76439	3.04466	9.80904
1.98	6.50126	3.30786	9.80912
1.99	6.23506	3.57412	9.80919
2	5.96682	3.84243	9.80925
2.01	5.69752	4.1118	9.80932
2.02	5.42809	4.38129	9.80938
2.03	5.15944	4.65001	9.80944
2.04	4.89241	4.91709	9.8095
2.05	4.62782	5.18173	9.80955
2.06	4.36642	5.44318	9.8096
2.07	4.10892	5.70073	9.80965
2.08	3.85597	5.95372	9.80969
2.09	3.60817	6.20156	9.80973
2.1	3.36608	6.44368	9.80976
2.11	3.13021	6.67958	9.80979
2.12	2.90102	6.9088	9.80982
2.13	2.67892	7.13093	9.80985
2.14	2.46429	7.34559	9.80987
2.15	2.25745	7.55244	9.80989
2.16	2.0587	7.75121	9.80991
2.17	1.8683	7.94163	9.80992
2.18	1.68647	8.12347	9.80994
2.19	1.5134	8.29655	9.80995
2.2	1.34927	8.46068	9.80996
2.21	1.19422	8.61575	9.80997
2.22	1.04836	8.76162	9.80997
2.23	0.911784	8.89819	9.80998
2.24	0.784585	9.0254	9.80998
2.25	0.666823	9.14316	9.80999
2.26	0.558549	9.25144	9.80999
2.27	0.459804	9.35019	9.80999
2.28	0.370619	9.43938	9.80999
2.29	0.291014	9.51898	9.81
2.3	0.221007	9.58899	9.81
2.31	0.160609	9.64939	9.81
2.32	0.109826	9.70017	9.81
2.33	0.0686629	9.74133	9.81
2.34	0.0371217	9.77288	9.81
2.35	0.0152037	9.79479	9.81
2.36	0.00290909	9.80709	9.81
2.37	0.000238122	9.80976	9.81
2.38	0.00719077	9.80281	9.81
2.39	0.023767	9.78623	9.81
2.4	0.0499666	9.76003	9.81
2.41	0.0857889	9.72421	9.81
2.42	0.131232	9.67876	9.81
2.43	0.186294	9.6237	9.81
2.44	0.250969	9.55903	9.81
2.45	0.325247	9.48475	9.80999
2.46	0.409117	9.40088	9.80999
2.47	0.502559	9.30743	9.80999
2.48	0.605547	9.20444	9.80999
2.49	0.718048	9.09194	9.80999
2.5	0.840016	8.96997	9.80998
2.51	0.971394	8.83858	9.80998
2.52	1.11211	8.69786	9.80997
2.53	1.26208	8.54789	9.80996
2.54	1.42119	8.38877	9.80995
2.55	1.58931	8.22064	9.80994
2.56	1.76629	8.04364	9.80993
2.57	1.95196	7.85795	9.80992
2.58	2.14611	7.66379	9.8099
2.59	2.34849	7.46139	9.80988
2.6	2.55884	7.25103	9.80986
2.61	2.77683	7.033	9.80984
2.62	3.00214	6.80767	9.80981
2.63	3.23436	6.57542	9.80978
2.64	3.47305	6.3367	9.80975
2.65	3.71774	6.09197	9.80971
2.66	3.96791	5.84176	9.80967
2.67	4.22296	5.58666	9.80963
2.68	4.48228	5.3273	9.80958
2.69	4.74519	5.06434	9.80953
2.7	5.01096	4.79851	9.80947
2.71	5.27881	4.5306	9.80942
2.72	5.54792	4.26144	9.80936
2.73	5.81741	3.99188	9.80929
2.74	6.08636	3.72287	9.80922
2.75	6.35381	3.45535	9.80916
2.76	6.61877	3.19032	9.80908
2.77	6.8802	2.92881	9.80901
2.78	7.13704	2.67189	9.80894
2.79	7.38822	2.42063	9.80886
2.8	7.63265	2.17614	9.80878
2.81	7.86921	1.9395	9.80871
2.82	8.09682	1.71182	9.80863
2.83	8.31437	1.49418	9.80856
2.84	8.52081	1.28767	9.80848
2.85	8.71509	1.09333	9.80841
2.86	8.8962	0.912149	9.80835
2.87	9.06319	0.745095	9.80828
2.88	9.21516	0.593065	9.80823
2.89	9.35128	0.456892	9.80817
2.9	9.47079	0.337335	9.80813
2.91	9.57302	0.235068	9.80809
2.92	9.65738	0.150675	9.80805
2.93	9.72338	0.0846425	9.80803
2.94	9.77065	0.0373547	9.80801
2.95	9.79891	0.0090878	9.808
2.96	9.80798	7.58431e-06	9.80799
2.97	9.79783	0.0101675	9.808
2.98	9.7685	0.0395077	9.80801
2.99	9.72017	0.0878562	9.80803
3	9.65312	0.15493	9.80805
3.01	9.56775	0.240341	9.80809
3.02	9.46453	0.343595	9.80813
3.03	9.34407	0.464104	9.80818
3.04	9.20704	0.601188	9.80823
3.05	9.0542	0.754084	9.80829
3.06	8.8864	0.921956	9.80835
3.07	8.70452	1.1039	9.80842
3.08	8.50953	1.29896	9.80849
3.09	8.30244	1.50612	9.80856
3.1	8.08429	1.72434	9.80863
3.11	7.85616	1.95255	9.80871
3.12	7.61912	2.18966	9.80879
3.13	7.37429	2.43457	9.80886
3.14	7.12276	2.68618	9.80894
3.15	6.86563	2.94338	9.80901
3.16	6.60398	3.20511	9.80909
3.17	6.33885	3.47031	9.80916
3.18	6.07129	3.73794	9.80923
3.19	5.80228	4.00701	9.8093
3.2	5.53279	4.27657	9.80936
3.21	5.26373	4.54569	9.80942
3.22	4.99598	4.8135	9.80948
3.23	4.73035	5.07918	9.80953
3.24	4.46762	5.34196	9.80958
3.25	4.20852	5.6011	9.80963
3.26	3.95373	5.85594	9.80967
3.27	3.70386	6.10586	9.80971
3.28	3.45949	6.35026	9.80975
3.29	3.22114	6.58864	9.80978
3.3	2.9893	6.82051	9.80981
3.31	2.7644	7.04544	9.80984
3.32	2.54682	7.26304	9.80986
3.33	2.33691	7.47297	9.80988
3.34	2.13499	7.67491	9.8099
3.35	1.94131	7.86861	9.80992
3.36	1.75613	8.05381	9.80993
3.37	1.57963	8.23031	9.80994
3.38	1.41201	8.39794	9.80996
3.39	1.25341	8.55655	9.80996
3.4	1.10396	8.70601	9.80997
3.41	0.96377	8.84621	9.80998
3.42	0.832919	8.97706	9.80998
3.43	0.711481	9.09851	9.80999
3.44	0.599513	9.21048	9.80999
3.45	0.497059	9.31293	9.80999
3.46	0.404154	9.40584	9.80999
3.47	0.320823	9.48917	9.80999
3.48	0.247083	9.56291	9.81
3.49	0.182948	9.62705	9.81
3.5	0.128426	9.68157	9.81
3.51	0.0835228	9.72647	9.81
3.52	0.0482407	9.76176	9.81
3.53	0.0225814	9.78742	9.81
3.54	0.00654545	9.80345	9.81
3.55	0.000133097	9.80986	9.81
3.56	0.00334436	9.80665	9.81
3.57	0.0161792	9.79382	9.81
3.58	0.0386376	9.77136	9.81
3.59	0.070719	9.73928	9.81
3.6	0.112422	9.69757	9.81
3.61	0.163745	9.64625	9.81
3.62	0.224683	9.58531	9.81
3.63	0.295229	9.51477	9.80999
3.64	0.375372	9.43462	9.80999
3.65	0.465095	9.3449	9.80999
3.66	0.564376	9.24561	9.80999
3.67	0.673183	9.1368	9.80999
3.68	0.791477	9.01851	9.80998
3.69	0.919204	8.89077	9.80998
3.7	1.0563	8.75367	9.80997
3.71	1.20268	8.60729	9.80997
3.72	1.35825	8.45171	9.80996
3.73	1.52289	8.28706	9.80995
